,headline,source,topic,Y,Yhat (GPT4o),confidence
1467,Hospital in Brazilian city of Fortaleza closes Covid-19 ward due to lack of patients.,Facebook posts,covid,misinfo,real,0.8
1468,"Official news: in Naples people have used Tocilizumab, a drug that will cure COVID-19.",Facebook,covid,misinfo,misinfo,0.8
1469,Senegalese president and government appears with masks during a press conference.,Facebook,covid,misinfo,real,0.9
1470,"The are no COVID-19 deaths in Israel as they found a cure for COVID-19, a mixture of lemon and baking soda.",Social Media,covid,misinfo,misinfo,0.95
1471,Mumbai Police congratulated a couple for marrying inside their house amidst the coronavirus lockdown.,Facebook,covid,misinfo,real,0.9
1472,Feds Release Plan to Distribute COVID-19 Vaccine,webmd.com,covid,real,real,0.9
1473,COVID Deaths Have 1.2 Million Americans Grieving,webmd.com,covid,real,real,0.9
1474,Greta at United Nations climate talks one year apart,bbc,climate,real,real,0.9
1475,"Ahead of 2020, FB ensnared in heated political climate",charlotteobserver,climate,real,real,0.9
1476,The Cost of Environmental Racism,greenpeace,climate,misinfo,real,0.9
1477,Molecular based test for Covid-19 will produce only false positive,Facebook posts,covid,misinfo,misinfo,0.9
1478,'Our biggest compliment yet!' Greta Thunberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,theindependent,climate,real,real,0.9
1479,"Watch Live: Climate Activists Block D.C. Roads, Disrupt Morning Commute",breitbart,climate,misinfo,real,0.9
1480,Bolivian Government Minister Arturo Murillo in a conference asked women to get their uterus ready because the crisis of COVID-19 comes soon.,Facebook,covid,misinfo,misinfo,0.85
1481,COVID-19: Mental Health Pros Come to the Aid of Frontline Comrades,webmd.com,covid,real,real,0.9
1482,Chart shows COVID-19 kills less people than other diseases.,Facebook posts,covid,misinfo,misinfo,0.7
1483,"RT reports: Locals slam Macron's empty promises on the environment, French city plagued by pollution",sottnet,climate,misinfo,real,0.85
1484,Irish news organisations are organising a collective moment of applause for the government to praise its work in handling the coronavirus pandemic.,Twitter,covid,misinfo,misinfo,0.7
1485,"Greta snaps: 'Change everything,' 'climate crisis' about 'colonial, racist, and patriarchal systems of oppression,' fossil fuel 'literally' killing us",sottnet,climate,misinfo,real,0.8
1486,Tell us what you are doing to reduce your greenhouse gas emissions,theguardianuk,climate,real,real,0.9
1487,"Massive cavity opening in Antarctic glacier is 'disturbing' sign of climate change, says Nasa",theindependent,climate,real,real,0.9
1488,Stunning truths about the climate that Leftists and fake news media will never admit,naturalnews,climate,misinfo,misinfo,0.85
1489,"A recipe involving a full lemon and ground cloves has cured a woman's COVID-19 symptoms. She isn't sure she and her maid actually had COVID-19, but she still encourages people who think they have it to take this recipe.",Facebook,covid,misinfo,misinfo,0.85
1490,CU Boulder's Mountain Research Station home to some of the most important ongoing research in climate change,thedenverpost,climate,real,real,0.9
1491,"Flu Season 2019: Cases Top 5 Million, Infections May Increase Over the Holidays",healthline.com,covid,real,real,0.9
1492,Consuming onion and salt followed by a glass of water can cure coronavirus.,"Facebook, Twitter",covid,misinfo,misinfo,0.95
1493,How Wineries and Distilleries Are Addressing Climate Change,fortune,climate,real,real,0.9
1494,WTF IS GOING ON WITH USMCA? IT'S FULL OF AGENDA 2030. ENVIRONMENTAL GOVERNANCE?,investmentwatchblog,climate,misinfo,misinfo,0.85
1495,Climate change: Bigger hurricanes are now more damaging,bbc,climate,real,real,0.9
1496,"Publications on social networks that claims that a coronavirus outbreak after the protests in the Barrio de Salamanca, Madrid, Spain.",Social media,covid,misinfo,misinfo,0.7
1497,Ultimo (Italian singer) has coronavirus.,Instagram,covid,misinfo,misinfo,0.5
1498,Key Climate Change in Limbo as Deadly Protests in Chile Erupt,fortune,climate,real,real,0.8
1499,Sliding glaciers 'a new threat' as global warming melts ice,theindependent,climate,misinfo,real,0.9
1500,COVID-19 Cuts Stroke Cases Nearly 40% Nationwide,webmd.com,covid,real,misinfo,0.8
1501,Environment minister says he shares concerns of B.C. hunger strikers,nationalobserver,climate,real,real,0.9
1502,Monitoring and Evaluation Action Guide: Wearing Masks as a COVID-19 Community Mitigation Strategy,cdc.gov,covid,real,real,0.9
1503,How Climate Change Could Knock Fish Off of Dinner Plates,fortune,climate,real,real,0.9
1504,Local climate efforts wont be enough to undo Trumps inaction study says,theguardianuk,climate,real,real,0.85
1505,Kerala (India) temple offers special Puja for curing COVID-19 and a rate card for the specific COVID-19 prayer (rituals) has been created by the temple.,Facebook/Twitter,covid,misinfo,misinfo,0.7
1506,PTSD and coronavirus (COVID-19): Symptoms and how to cope,medicalnewstoday.com,covid,real,real,0.9
1507,Coffee May Slow Spread of Colon Cancer,webmd.com,covid,real,real,0.85
1508,Saskatchewan seeks court ruling on federal carbon tax,ipolitics,climate,real,real,0.9
1509,"Inhaling the steam from boiled water with dissolved salt is an effective cure for COVID-19, the disease caused by the novel coronavirus.",Facebook,covid,misinfo,misinfo,0.9
1510,Who's Speaking at the U.N. Climate Summit? Several Champions of Coal,thenewyorktimes,climate,real,real,0.8
1511,This Harvard professor was arrested because he created the coronavirus.,Facebook,covid,misinfo,misinfo,0.9
1512,"Neck Gaiters Are Stylish, But How Effective Are They in Stopping COVID-19 Spread?",healthline.com,covid,real,real,0.9
1513,"The herb named ""holy leaf"" or ""momo"" cures COVID-19 and helps patients breathe.",Facebook,covid,misinfo,misinfo,0.9
1514,COVID-19 Staffing Guidance for State Tribal Local and Territorial Health Departments,cdc.gov,covid,real,real,0.9
1515,How to disinfect clothes: Tips for coronavirus (COVID-19,medicalnewstoday.com,covid,real,real,0.9
1516,"Disband Your Climate Denial Panel, Mr. President",realclearpolitics,climate,real,real,0.85
1517,"Clueless Ocasio-Cortez : Americans Must ""Eat Fewer Hamburgers"" To Stop Climate Change",thedcclothesline,climate,misinfo,misinfo,0.7
1518,Are blood clots to blame for COVID-19 deaths?,medicalnewstoday.com,covid,real,real,0.9
1519,"COVID-19 is cured by taking a very hot drink of ginger, garlic, cinnamon, honey and onion.",Facebook,covid,misinfo,misinfo,0.9
1520,WATCH--Jerry Nadler: Climate Change Is a Greater Threat than a World War,breitbart,climate,misinfo,real,0.8
1521,"""We are at a crossroads"": Lawmakers unveil climate change plan",cbsnews,climate,real,real,0.9
1522,How Trumpaposs air pollution chief is helping companies he used to work for by removing climate-ch,theindependent,climate,real,misinfo,0.7
1523,Democratic candidates vie for climate mantle during marathon forum,reuters,climate,real,real,0.9
1524,Beto O'Rourke promises not to take fossil fuel money after heavy criticism on climate change issue,theindependent,climate,real,real,0.9
1525,Regional business leaders step into climate breach at San Francisco summit,france24,climate,real,real,0.85
1526,More Wearing Masks But Ignoring Other Precautions,webmd.com,covid,real,real,0.85
1527,"When cities lose newspapers like the New Orleans<em> Times-Picayune</em>, they lose critical environmental reporting",mediamattersforamerica,climate,real,real,0.9
1528,AOC & 500+ Warmist Groups Demand 'People's Bailout' For Coronavirus Response  Urge 'tackling the dual crises of COVID and climate change',climatedepot,climate,misinfo,real,0.8
1529,Home Ministry of India has issued an order that sharing of any news related to coronavirus is a punishable offense under the IT Act.,"Facebook, WhatsApp",covid,misinfo,misinfo,0.7
1530,SOTT FOCUS: Latest Hot Summer in The Netherlands is Not a Sign of Man-Made Global Warming,sottnet,climate,misinfo,misinfo,0.7
1531,Court tells teen plaintiffs it can't force climate policy changes,rollcall,climate,real,real,0.9
1532,"Ditch cars to meet climate change targets, say MPs",bbcuk,climate,real,real,0.9
1533,Italy becomes first country to make climate change lessons compulsory for all children,theindependent,climate,real,real,0.8
1534,"""The UN's 'Woke' Climate Change Propaganda Is An Insult To Science""",zerohedge,climate,misinfo,misinfo,0.7
1535,Greta Thunberg: Right wing French MPs insult and boycott teenage climate activist,theindependent,climate,real,real,0.9
1536,4045% who contract new coronavirus are asymptomatic,medicalnewstoday.com,covid,real,misinfo,0.9
1537,"Climate change could end human race, say majority of Brits",theweekuk,climate,real,real,0.8
1538,Why the Democratic National Committee Must Change the Rules and Hold a Climate Debate,theintercept,climate,real,real,0.9
1539,Paid actor pretending to be suffering from COVID-19,Facebook,covid,misinfo,misinfo,0.7
1540,2020 REPORT: The Reassuring Facts About The Climate In 2019  '2019 cooler than 2016',climatedepot,climate,misinfo,real,0.7
1541,"Congrats! US, Sweden, Australia have more climate 'deniers' than anywhere",climatedepot,climate,misinfo,misinfo,0.7
1542,COVID-19 Prompts 'Lifesaving' Policy Change for Opioid Addiction,webmd.com,covid,real,real,0.85
1543,Raucous crowd hears Ford Kenney rail against carbon tax,ipolitics,climate,real,real,0.85
1544,Hydroxychloroquine and Azithromycin are cures for COVID-19.,Facebook,covid,misinfo,misinfo,0.8
1545,"Guardian climate pledge 2019: 'With air travel, it's best to take a flexitarian approach'",theguardianuk,climate,real,real,0.8
1546,Alcohol gel bottles can explode in a hot car.,Facebook posts,covid,misinfo,misinfo,0.3
1547,A patent on a Covid-19 test was registered by Rothschild in 2015,Facebook post,covid,misinfo,misinfo,0.9
1548,Scientists say droughts would be half as severe without human-caused climate change,cbsnews,climate,real,real,0.85
1549,"There were no infections between people. It is ruled out that a virus was the cause or responsible for the deceased persons reported by the official media as ""due to coronavirus""",Twitter,covid,misinfo,misinfo,0.7
1550,"Top Interior Press Secretary Spouted Islamophobia, Climate Denial In 2017 Podcast",thehuffingtonpost,climate,real,real,0.8
1551,CDC shares 9 tons of protective gear with responders,cdc.gov,covid,real,real,0.85
1552,"A purported news report claims that Philippine President Rodrigo Duterte approved the release of P20,000 (USD $400) to all recipients of the Philippines' Social Security System (SSS) to help them through the novel coronavirus pandemic.",Facebook,covid,misinfo,misinfo,0.7
1553,Why I'm Skipping School Today To Fight For Climate Change,thehuffingtonpostuk,climate,real,real,0.9
1554,California wildfires illustrate the consequences of climate change,pbs,climate,real,real,0.9
1555,Get Your Mass Gatherings or Large Community Events Ready,cdc.gov,covid,real,real,0.9
1556,Irony alert EPA finds ethanol is environmentally damaging,hotair,climate,real,real,0.85
1557,Networks invite Democratic presidential candidates to climate change town halls,reuters,climate,real,real,0.9
1558,Inhaling hot water steam can kill coronavirus.,Social Media,covid,misinfo,misinfo,0.85
1559,COMMENTARY: How 'Surge Staffing' Can Bring in the Cavalry to Fight COVID-19,webmd.com,covid,real,real,0.85
1560,Selected Articles: Climate Change and the Green New Deal,globalresearch,climate,misinfo,real,0.9
1561,Pete Buttigieg: Inaction on Climate Change Is a 'Sin',breitbart,climate,misinfo,real,0.9
1562,BBC: Coronavirus recovery plan 'must tackle climate change',climatedepot,climate,misinfo,real,0.9
1563,It's over': Miami Beach tries to outrace climate change's rising seas,yahoonews,climate,real,real,0.9
1564,COVID-19 Outbreak at an Overnight Summer School Retreat - Wisconsin,cdc.gov,covid,real,real,0.85
1565,O'Neill: PM 'doesn't really get' climate change,bbcuk,climate,real,real,0.85
1566,"Senators on climate change: ""We look a bit like Neanderthals""",cbsnews,climate,real,real,0.7
1567,What Would It Take For Both Democrats And Republicans To Take Climate Change Seriously?,nationalinterest,climate,real,real,0.9
1568,"Seeing the rise of novel coronavirus in India, the WHO has recommended the government of India lockdown the country from 4/15/20 to 6/15/20.",WhatsApp,covid,misinfo,misinfo,0.8
1569,"COVID-19 Daily: More Will Die, First Antibody Test Authorized",webmd.com,covid,real,real,0.9
1570,"Even if millions went vegan overnight, it wouldn't make a dent in the fight against climate change",theindependent,climate,real,misinfo,0.7
1571,"The Drilldown: Over 30,000 students take to the streets in Brussels to urge climate action",ipolitics,climate,real,real,0.9
1572,Swedish Scientist Proposes Cannibalism to Fight Climate Change,breitbart,climate,misinfo,misinfo,0.8
1573,Deaths blamed on coronavirus are actually due to the flu.,Facebook,covid,misinfo,misinfo,0.8
1574,Coronavirus has gripped Italy and nobody is willing to carry corpses off Italy's streets.,Many social media platforms,covid,misinfo,misinfo,0.8
1575,WHO releases report claiming vegetarians haven't contracted the coronavirus.,Facebook,covid,misinfo,misinfo,0.85
1576,"10,500 Steaks at 2020 Democrat Steak Fry Despite Their Meat Consumption Climate Change Concerns",breitbart,climate,misinfo,real,0.8
1577,Ecojustice urges Ford government to undo COVID-19 environmental rollbacks,nationalobserver,climate,real,real,0.85
1578,Potential COVID-19 Vaccines Not Affected by Dominant 'G-Strain',sciencedaily.com,covid,real,real,0.9
1579,Toxic threats to Arctic environment growing report,ipolitics,climate,real,real,0.9
1580,"No, a vaccine will not be required to obtain a visa for Europe.",Website,covid,misinfo,real,0.9
1581,"John Houghton, renowned climate scientist who led IPCC reports, dies of coronavirus at 88",washingtonpost,climate,real,real,0.9
1582,Protests against inadequate lockdown measures took place in Israel.,Facebook,covid,misinfo,real,0.9
1583,The creator of the PCR said that these tests do not detect the new coronavirus.,"Facebook, WhatsApp",covid,misinfo,misinfo,0.9
1584,Protect your privacy and the environment while upgrading your gear,thedenverpost,climate,real,real,0.8
1585,Coronavirus is needed to impose control over people.,Facebook,covid,misinfo,misinfo,0.85
1586,"Germany, Austria and Switzerland markets chlorine dioxide.",WhatsApp,covid,misinfo,misinfo,0.7
1587,The application of menthol ointment in the nostrils helps to prevent the virus.,WhatsApp,covid,misinfo,misinfo,0.8
1588,"Bumblebees face mass extinction amid 'climate chaos', scientists warn",theindependent,climate,misinfo,real,0.85
1589,Quito is the second city with the highest probability of infection.,Facebook,covid,misinfo,misinfo,0.7
1590,"A picture of a queue in a Bom Prato (a chain of state run popular restaurants that offers low cost meals to poor people in So Paulo). The caption states that Joo Dria, So Paulo governor, opened the restaurants and allowed the agglomeration, while, at the same time, forbade the regular restaurant to open.",Facebook,covid,misinfo,misinfo,0.7
1591,World's Leading Greenhouse Gas Emitter China Taps Out of Global Climate Strike,breitbart,climate,misinfo,real,0.8
1592,Coronavirus is caused by bat soup.,Website,covid,misinfo,misinfo,0.9
1593,Whitmer: Climate Change Is Making Massive Floods 'More Frequent' - 'Old Infrastructure' Is Also an Issue,breitbart,climate,misinfo,real,0.9
1594,Strategies for Optimizing the Supply of Isolation Gowns,cdc.gov,covid,real,real,0.9
1595,"U. S. Army's ""Extermination protocol COVID-19 capsules"" for Italy were discovered",Facebook,covid,misinfo,misinfo,0.9
1596,"Climate crisis: Rising temperatures could cause mass die-off of tropical plants by 2070, research suggests",theindependent,climate,misinfo,real,0.9
1597,Bollywood actor Aamir Khan is helping the needy during the COVID-19 crisis by sending flour bags with cash in them.,Social Media,covid,misinfo,misinfo,0.5
1598,Actors take their places for re-enactment of climate farce,crikey,climate,real,misinfo,0.7
1599,Analysis | The Energy 202: Climate change among top concerns for Iowa Democratic caucus-goers,washingtonpost,climate,real,real,0.9
1600,Gavin Newsom at Ash-Strewn Wildfire Site: 'The Debate Is Over Around Climate Change',breitbart,climate,misinfo,real,0.9
1601,Paris Closes Bars for Two Weeks After Cases Spike,webmd.com,covid,real,real,0.9
1602,How the twin disasters of climate change and Covid-19 could transform our cities | Irena Bauman,theguardianuk,climate,real,real,0.9
1603,Childcare Programs,cdc.gov,covid,real,real,0.9
1604,Austria's New Anti-Immigrant Green Government Stokes Fears Of Climate 'Nightmare',thehuffingtonpost,climate,real,misinfo,0.75
1605,Lagarde: ECB should do more to tackle climate emergency,theguardianuk,climate,real,real,0.9
1606,IMSS training on prevention must be paid COVID-19,Facebook,covid,misinfo,misinfo,0.85
1607,"You should take high doses of Vitamin D against COVID-19; children don't get sick because they lack the receptors for the virus to bond; the coronavirus is an unnatural mutation; it is not susceptible to temperatures, which is why infections will not sink in summer; the oldest patients will not be treated and left to die; 5G harms the immune system.",WhatsApp,covid,misinfo,misinfo,0.9
1608,"Georgia Gov. Brian Kemp ""mandates restaurants reopen"".",Facebook posts,covid,misinfo,misinfo,0.6
1609,A Coronavac package shows the vaccine was produced in April. This proves that it was being produced before it was even tested,Facebook,covid,misinfo,misinfo,0.8
1610,Climate crisis: Sea level 'on course to rise by one metre by 2100' if global emissions targets are missed,theindependent,climate,misinfo,real,0.9
1611,A recipe for homemade alcohol: Mix 3 parts of ethanol with 1 part of water.,WhatsApp,covid,misinfo,misinfo,0.8
1612,"Donald Trump calls on people not to wear masks, not to be slaves, and not to believe in the coronavirus.",Facebook and YouTube,covid,misinfo,misinfo,0.7
1613,American students thank Indians for hydroxychloroquine by singing the Indian National Anthem.,Facebook/Twitter,covid,misinfo,misinfo,0.8
1614,"Lojas Americanas, a retail company, is donating 62 million reais in products to victims of COVID-19",Facebook,covid,misinfo,real,0.8
1615,New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,theindependent,climate,real,real,0.9
1616,Tiny Antibody Component Highly Effective Against SARS-COV-2 in Animal Studies,sciencedaily.com,covid,real,real,0.85
1617,Ugandan President Kaguta Museveni and Prime Minister Ruhakana Rugunda have tested positive for COVID-19.,Facebook,covid,misinfo,misinfo,0.5
1618,The men of India's railway minister demanding money from helpless workers for walking on the tracks.,Facebook,covid,misinfo,misinfo,0.7
1619,Podemos spokesman Pablo Echenique is not in intensive care after getting infected with COVID-19.,Twitter,covid,misinfo,real,0.8
1620,The grown ups have failed miserably on climate change  so us kids are going on strike to save the planet,theindependent,climate,real,real,0.8
1621,"UK funding to tackle climate crisis 'must double', government warned",theguardianuk,climate,real,real,0.9
1622,What Workers Need to Know about Heat Stress Prevention during the COVID-19 Pandemic,cdc.gov,covid,real,real,0.9
1623,"In Italy, children with COVID-19 symptoms will be isolated without parents' permission.",Facebook,covid,misinfo,misinfo,0.7
1624,Could Biden Be the Climate-Change President?,thenewyorktimes,climate,real,real,0.9
1625,"If Solar's Cheaper Than Coal As Claimed, Have We Beaten Climate Change?",climatedepot,climate,misinfo,misinfo,0.7
1626,Dog In Georgia Tests Positive for Coronavirus,webmd.com,covid,real,real,0.9
1627,Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,theindependent,climate,real,real,0.8
1628,Rethinking Youth Suicide Prevention During COVID,webmd.com,covid,real,real,0.9
1629,Mounting Climate Impacts Threaten U.S. Nuclear Reactors,scientificamerican,climate,real,real,0.9
1630,NIH Statement on World Asthma Day 2020,nih.gov,covid,real,real,0.9
1631,Environmentalists lose bid to halt uranium mine in Arizona,thetorontostar,climate,real,real,0.9
1632,Support for People Experiencing Abuse,cdc.gov,covid,real,real,0.9
1633,"Donald Trump said, ""People are dying who have never died before""",Facebook,covid,misinfo,misinfo,0.8
1634,Bolivia does not manage access to a coronavirus vaccine,Facebook,covid,misinfo,real,0.9
1635,Ireland Announces 6-Week Lockdown Restrictions,webmd.com,covid,real,real,0.9
1636,'Barometer of despair': Birthrate falls as millennials fear climate apocalypse,yahoonews,climate,real,real,0.85
1637,"A Georgian doctor states that COVID-19 is less lethal than influenza virus, statistical data on increased COVID-19 cases are not reliable and asymptomatic patients do not actually exist.",Facebook,covid,misinfo,misinfo,0.85
1638,Secrecy' Clause for Britain's New Environment Watchdog,globalresearch,climate,misinfo,real,0.8
1639,An article claims that the Tanzanian government has kicked the World Health Organization (WHO) out of the country.,FB,covid,misinfo,misinfo,0.7
1640,Police begin second wave of arrests in London climate protests,theguardianuk,climate,real,real,0.9
1641,Climate-change activism needs a lesson in listening,nationalobserver,climate,real,real,0.85
1642,FDA Clears Ozanimod (Zeposia) for MS; COVID-19 Delays Launch,webmd.com,covid,real,real,0.9
1643,Democrats Now Calling For Population Control To Fight Climate Change,thedcclothesline,climate,misinfo,misinfo,0.7
1644,"COVID-19 Testing Numbers Drop, Cause Concern",webmd.com,covid,real,real,0.85
1645,The U.S. Needs to Address Its Climate Migration Problem,scientificamerican,climate,real,real,0.9
1646,States Sue Trump Administration Over Rollback of Obama-Era Climate Rule,thenewyorktimes,climate,real,real,0.9
1647,Scientists to study how Arctic's oil-polluted soil reacts to climate change,tass,climate,real,real,0.9
1648,Scientists take temperatures of butterflies to uncover climate threat,theguardianuk,climate,real,real,0.9
1649,Dettol sanitizer kills coronavirus and the company knew about the existence of the virus before the outbreak in China.,"Facebook, WhatsApp",covid,misinfo,misinfo,0.9
1650,Novel COVID-19 survey takes nation's social,cdc.gov,covid,real,real,0.8
1651,New Candidates Emerge for Trumps Top Environmental Adviser,thenewyorktimes,climate,real,real,0.9
1652,My experience battling COVID-19 - Medical News Today,medicalnewstoday.com,covid,real,real,0.9
1653,Climate change is pushing Central American migrants to the US | Lauren Markham,theguardianuk,climate,real,real,0.85
1654,Flu Study Highlights Difficulty of Achieving COVID-19 'Herd Immunity',healthline.com,covid,real,real,0.9
1655,The Time is Now: Thousands of climate change demonstrators to march on parliament to demand action,theindependent,climate,real,real,0.85
1656,Ventilators: Helping or Harming COVID-19 Patients?,webmd.com,covid,real,real,0.9
1657,Youth Climate Activists Fighting for Change in Davos,realclearpolitics,climate,real,real,0.9
1658,We are at a climate crisis crossroads  we have to reshape the country profoundly,theindependent,climate,misinfo,real,0.9
1659,"""This lady here applied sanitizer to her hands/forearms and went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.""",Facebook,covid,misinfo,misinfo,0.3
1660,In Pictures: Bangladesh at front lines of climate crisis,aljazeera,climate,real,real,0.9
1661,Drinking water every 15 minutes prevents the coronavirus.,Facebook,covid,misinfo,misinfo,0.9
1662,Chinese police kill a woman escaping a COVID-19 quarantine in China.,Twitter,covid,misinfo,real,0.8
1663,India asked for restriction of movement.,WhatsApp,covid,misinfo,misinfo,0.5
1664,If You Are Sick or Caring for Someone,cdc.gov,covid,real,real,0.8
1665,Debate blazes in Australia over climate change role in bushfire crisis,france24,climate,real,real,0.9
1666,MP Nika Melia's election office Staff members have been confirmed with coronavirus.,Facebook,covid,misinfo,real,0.9
1667,A Facebook page claims that the Federal Government has announced Monday 1st of June 2020 as a resumption date for all schools in Nigeria.,Facebook,covid,misinfo,misinfo,0.8
1668,The Spanish Ministry of Health is sending an email advising of the protocols to prevent coronavirus,Social media,covid,misinfo,real,0.9
1669,Trio Of Democratic Senators Introduce Environmental Justice Caucus To Fight 'Systemic Racism',truepundit,climate,misinfo,real,0.85
1670,Can Democrats Do Something About the Degradation of Climate Science?,slate,climate,real,real,0.9
1671,"The planes spray viruses in the air, and this process leaves ""chemical trails."" So, people are got infected with viruses by inhaling the content of ""chemtrails.""",Facebook and YouTube,covid,misinfo,misinfo,0.95
1672,The Government of India has released a five-phase road map to ease COVID-19 restrictions in the country.,Social Media,covid,misinfo,real,0.9
1673,Earth Day 2020: Reduce your environmental impact by switching accounts,theindependent,climate,misinfo,real,0.7
1674,WHO changed its directives: No need to isolate infected people.,Twitter,covid,misinfo,misinfo,0.8
1675,Anti-Greta' Naomi Seibt Strikes Back at Climate Activist Misanthropy,climatedepot,climate,misinfo,real,0.85
1676,School climate strikes pose dilemma for principals,theirishtimes,climate,real,real,0.9
1677,Tropical fish spotted thousands of miles away in northern Canada as climate crisis escalates,theindependent,climate,real,real,0.8
1678,Reject the 'jobs versus environment' narrative  we can have both | Mijin Cha and Jeremy Brecher,theguardian,climate,real,real,0.9
1679,Boss vows to tackle misconduct claims at UN Green Climate Fund,theguardianuk,climate,real,real,0.9
1680,Trump's nominee for UN ambassador publicly contradicts his stance on climate change,theindependent,climate,real,real,0.85
1681,Cases Spiking in Some Southern Universities,webmd.com,covid,real,real,0.9
1682,A police officer in Bihar's Hajipur (India) station contracted coronavirus.,Facebook,covid,misinfo,real,0.9
1683,Five major takeaways from the federal climate change report,thehill,climate,real,real,0.9
1684,Hantavirus is being compared with novel coronavirus. Message describes recent hantavirus case in China and says that 32 people in one bus were diagnosed with hantavirus.,Facebook post,covid,misinfo,misinfo,0.7
1685,"Factbox: Trade, Biofuels and the Environment - Key Agriculture Issues in U.S. Election",usnews,climate,real,real,0.9
1686,"Change climate policy now to avert oil market crisis, warns thinktank",theguardianuk,climate,real,real,0.85
1687,White House committee to reassess climate science conclusions: report,thehill,climate,real,real,0.85
1688,Floods Wildfires Yet Few Candidates Are Running on Climate Change,thenewyorktimes,climate,real,real,0.85
1689,"Extinction Rebellion protests: Met Police have government's 'full support' for crackdown on climate change activists, Sajid Javid says",theindependent,climate,real,real,0.9
1690,"Lemon, ginger and garlic cures coronavirus.",Facebook,covid,misinfo,misinfo,0.95
1691,"Tories ignore tough climate change recommendations in 2050 net zero plan, but promise nuclear fusion instead",theindependent,climate,real,real,0.85
1692,Prince Charles discusses climate change with Indian experts,theseattletimes,climate,real,real,0.9
1693,French cheeses at risk of falling foul of global warming as cows lack fresh grass,thetelegraph,climate,real,real,0.85
1694,NYC Mayor De Blasio: 'Meatless Mondays' in NYC Public Schools to 'Reduce Greenhouse Gas Emissions',cnsnews,climate,misinfo,real,0.9
1695,"Polar bears could go extinct due to climate change, study warns",cbsnews,climate,real,real,0.9
1696,Can the catastrophic fires bring some sanity to Australian climate politics?,vox,climate,real,real,0.9
1697,Genomic analysis suggests climate change caused the extinction of wooly rhinos,upi,climate,real,real,0.85
1698,School strike for climate change UK: Greta Thunberg inspired students protest global warming by walking out of school today,eveningstandard,climate,real,real,0.9
1699,Democratic takeover could mean boost for NASAs climate science,politico,climate,real,real,0.85
1700,Italian doctors defied WHO rule not to conduct autopsy and found that the Covid-19 caused by bacteria and aspirin is a cure.,WhatsApp,covid,misinfo,misinfo,0.95
1701,CDC Issues New Return-to-Work Guidelines,webmd.com,covid,real,real,0.9
1702,"Says Wisconsin's in-person election has caused a ""surge"" in new coronavirus cases",Facebook,covid,misinfo,real,0.8
1703,New Climate Report Reveals Planetary Horror Story,realclearpolitics,climate,real,real,0.8
1704,Hostile Environment Victim Of Modern Slavery Who Married A British Man Faces Deportation,thehuffingtonpostuk,climate,real,real,0.85
1705,Trump says climate change not a hoax but questions if its manmade,cbsnews,climate,real,real,0.8
1706,Prioritizing non-healthcare worksite assessments for Coronavirus Disease 2019 (COVID-19),cdc.gov,covid,real,real,0.9
1707,President Donald Trump announced a vaccine by Roche Diagnostics.,WhatsApp,covid,misinfo,misinfo,0.8
1708,COVID-19 Trends Among School-Aged Children - United States,cdc.gov,covid,real,real,0.9
1709,"In Japan, if the new coronavirus test is negative, the cost is 80,000 yen. If positive, the state will bear the cost.",Twitter,covid,misinfo,misinfo,0.7
1710,Ivn Duque affirms he spent 117 billion pesos on the pandemic. This means each Colombian has received more than two million pesos in aid.,Facebook post,covid,misinfo,misinfo,0.8
1711,Emmanuel Macron's Climate Change Virtue Signaling,realclearpolitics,climate,real,misinfo,0.6
1712,Heres a Hurricane Florence environmental justice story that media outlets need to tell,mediamattersforamerica,climate,real,real,0.9
1713,Claim: George Floyd Protests Are Linked to Climate Change: 'People with fewer resources & less power & who are more oppressed are going to be people deeply affected by climate',climatedepot,climate,misinfo,misinfo,0.7
1714,Changing climate? 'In the last year or so there have been hopeful signs',theirishtimes,climate,real,real,0.8
1715,"There is a new case of coronavirus in Latacunga, Ecuador.",Facebook,covid,misinfo,real,0.9
1716,China benefited financially from new coronavirus,Facebook,covid,misinfo,misinfo,0.7
1717,Early Release: COVID-19 in a Correctional Facility Employee Following Multiple Brief Exposures to Persons with COVID-19 - Vermont,cdc.gov,covid,real,real,0.9
1718,"Novel coronavirus can survive 9 days on the road; you should keep your shoes out, a doctor from Milan says.",Facebook,covid,misinfo,misinfo,0.8
1719,House 'Climate Crisis Committee' issues massive meaningless wish list,climatedepot,climate,misinfo,misinfo,0.7
1720,Julin Castro's climate change plan would recognize a new class of refugees,vox,climate,real,real,0.9
1721,Los Angeles Bans Trick-or-Treating This Year,webmd.com,covid,real,real,0.8
1722,"If 60% of italian download the COVID-19 app created by the government for contact tracing, then its download and use will be compulsory by law.",Facebook user,covid,misinfo,misinfo,0.8
1723,"Sorry Global Warming Alarmists, The Earth Is Actually Cooling",humansarefree,climate,misinfo,misinfo,0.8
1724,First Confirmed U.S. Cases of COVID Reinfections,webmd.com,covid,real,real,0.9
1725,Coronavirus is infectious in the air for 8 hours and everyone must wear a face mask.,Facebook,covid,misinfo,misinfo,0.7
1726,Animal coronavirus vaccine works on SARS-CoV-2,Facebook post,covid,misinfo,misinfo,0.7
